"","Polling.Firm","Commissioners","Fieldwork.Start","Fieldwork.End","Scope","Sample.Size","Sample.Size.Qualification","Participation","Precision","PiS","PO","K15",".N","PSL","SLD","Wiosna","NN","LR","ZP","KO","Lewica","KP","Konfederacja","BS","KE","PL2050","Porozumienie","AU","AU.Porozumienie","TD","T.DPL","PJJ","Other"
"337","Estymator","DoRzeczy.pl","2022-02-16","2022-02-17","National","1047","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,27.5,7.6,6.8,9.4,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA
"338","Kantar Public","","2022-02-11","2022-02-16","National","990","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,35,29,6,5,9,NA,NA,11,1,NA,NA,NA,NA,NA,NA
"339","Social Changes","wPolityce.pl","2022-02-11","2022-02-14","National","1080","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,38,26,8,2,10,NA,NA,12,1,NA,NA,NA,NA,NA,NA
"340","Research Partner","Ariadna","2022-02-11","2022-02-14","National","1075","Provided","Not Available","0.1%",NA,NA,2.1,NA,NA,NA,NA,NA,NA,33.9,25.8,9.6,6.3,9.1,NA,NA,10.8,0.5,NA,NA,NA,NA,NA,NA
"341","IBRiS","Onet.pl","2022-02-11","2022-02-12","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6,33,6.3,4.8,9.5,NA,NA,9.7,NA,NA,NA,NA,NA,NA,NA
"342","Social Changes","wPolityce.pl","2022-02-04","2022-02-07","National","1078","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,31,26,10,4,12,NA,NA,12,1,NA,NA,NA,NA,NA,NA
"343","IBSP","StanPolityki.pl","2022-02-03","2022-02-07","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.6,26.3,7.5,3.5,9,NA,NA,14.9,NA,3.7,NA,NA,NA,NA,NA
"344","United Surveys","WP.pl","2022-02-06","2022-02-06","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8,27.9,6.4,5.8,9.4,NA,NA,13,0,0.7,NA,NA,NA,NA,NA
"345","IBRiS","Rzeczpospolita","2022-02-04","2022-02-06","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,30.5,7.5,5.9,7.9,NA,NA,12.7,NA,NA,NA,NA,NA,NA,NA
"346","Research Partner","Ariadna","2022-01-28","2022-02-01","National","1090","Provided","Not Available","0.1%",NA,NA,1.1,NA,NA,NA,NA,NA,NA,34.4,30,7.4,4.3,8.7,NA,NA,12.7,0.4,NA,NA,NA,NA,NA,NA
"347","Social Changes","wPolityce.pl","2022-01-28","2022-01-31","National","1090","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,33,28,8,5,11,NA,NA,11,1,NA,NA,NA,NA,NA,NA
"348","United Surveys","DGP and RMF FM","2022-01-27","2022-01-27","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8,29.7,7.1,6.8,6.6,NA,NA,12.1,NA,NA,NA,NA,NA,NA,NA
"349","Kantar Public","","2022-01-21","2022-01-26","National","986","Provided","Not Available","1%",NA,NA,4,NA,NA,NA,NA,NA,NA,32,31,8,4,11,NA,NA,11,1,NA,NA,NA,NA,NA,NA
"350","Social Changes","wPolityce.pl","2022-01-21","2022-01-24","National","1075","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,35,28,8,3,10,NA,NA,11,1,NA,NA,NA,NA,NA,NA
"351","United Surveys","WP.pl","2022-01-21","2022-01-21","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,29.9,7.7,7.1,7.5,NA,NA,12.3,NA,NA,NA,NA,NA,NA,NA
"352","Kantar","KO","2022-01-17","2022-01-18","National","1100","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,32,29,5,4,10,NA,NA,16,1,NA,NA,NA,NA,NA,NA
"353","Social Changes","wPolityce.pl","2022-01-14","2022-01-17","National","1063","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,34,27,10,3,11,NA,NA,13,0,NA,NA,NA,NA,NA,NA
"354","Research Partner","Ariadna","2022-01-14","2022-01-17","National","1053","Provided","Not Available","0.1%",NA,NA,1,NA,NA,NA,NA,NA,NA,36.1,27.2,9.1,2.3,10.3,NA,NA,12.6,0.3,NA,NA,NA,NA,NA,NA
"355","IBRiS","Onet.pl","2022-01-13","2022-01-13","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.7,24,8.7,7.1,10.2,NA,NA,14.4,NA,NA,NA,NA,NA,NA,NA
"356","Instytut Badań Pollster","SE.pl","2022-01-12","2022-01-13","National","1044","Provided","Not Available","0.1%",NA,NA,1.3,NA,NA,NA,NA,NA,NA,32.8,24.5,7.1,6.4,10.1,NA,NA,17.1,0.3,NA,NA,NA,NA,NA,NA
"357","Social Changes","wPolityce.pl","2022-01-07","2022-01-10","National","1071","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,36,24,9,2,10,NA,NA,14,1,NA,NA,NA,NA,NA,NA
"358","United Surveys","WP.pl","2022-01-06","2022-01-07","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6,27,8.8,7.2,8.6,NA,NA,11.9,NA,NA,NA,NA,NA,NA,NA
"359","Social Changes","wPolityce.pl","2021-12-31","2022-01-02","National","1069","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,38,24,7,2,12,NA,NA,13,1,NA,NA,NA,NA,NA,NA
"360","Estymator","DoRzeczy.pl","2021-12-29","2021-12-30","National","1029","Provided","Not Available","0.1%",NA,NA,1.5,NA,NA,NA,NA,NA,NA,35.3,23.8,8.4,6.8,9,NA,NA,13.5,1.1,NA,NA,NA,NA,NA,NA
"361","Ipsos","OKO.press","2021-12-28","2021-12-30","National","1000","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35,28,6,5,11,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
"362","Social Changes","wPolityce.pl","2021-12-17","2021-12-20","National","1052","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,36,25,8,3,11,NA,NA,13,2,NA,NA,NA,NA,NA,NA
"363","IBRiS","Rzeczpospolita","2021-12-17","2021-12-18","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.2,28.4,9.2,6.9,7.4,NA,NA,11.9,NA,NA,NA,NA,NA,NA,NA
"364","United Surveys","WP.pl","2021-12-17","2021-12-17","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37,28.7,9.3,7.5,5.9,NA,NA,10.6,NA,0.8,NA,NA,NA,NA,NA
"365","Social Changes","wPolityce.pl","2021-12-10","2021-12-13","National","1076","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,38,24,7,2,11,NA,NA,14,1,NA,NA,NA,NA,NA,NA
"366","Research Partner","Ariadna","2021-12-10","2021-12-13","National","1033","Provided","Not Available","0.1%",NA,NA,2,NA,NA,NA,NA,NA,NA,39.5,25.1,8.5,1.6,9.2,NA,NA,13.2,0.2,NA,NA,NA,NA,NA,NA
"367","Instytut Badań Pollster","SE.pl","2021-12-11","2021-12-12","National","1046","Provided","Not Available","0.1%",NA,NA,1.4,NA,NA,NA,NA,NA,NA,36.4,25.8,6.2,4.4,10.7,NA,NA,14.6,0.2,NA,NA,NA,NA,NA,NA
"368","Kantar","Fakty TVN and TVN24","2021-12-10","2021-12-12","National","1000","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,34,26,7,7,8,NA,NA,15,1,NA,NA,NA,NA,NA,NA
"369","Kantar","Polityka","2021-12-08","2021-12-12","National","1000","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,29,23,11,5,8,NA,NA,18,1,NA,NA,NA,NA,NA,NA
"370","Kantar Public","","2021-12-03","2021-12-08","National","975","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,33,31,8,4,9,NA,NA,13,1,NA,NA,NA,NA,NA,NA
"371","Social Changes","wPolityce.pl","2021-12-03","2021-12-06","National","1073","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,38,24,9,2,9,NA,NA,13,2,NA,NA,NA,NA,NA,NA
"372","United Surveys","WP.pl","2021-12-03","2021-12-03","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.1,27.4,9,6.6,7.7,NA,NA,12.2,NA,NA,NA,NA,NA,NA,NA
"373","Social Changes","wPolityce.pl","2021-11-26","2021-11-29","National","1054","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,38,25,9,2,10,NA,NA,12,1,NA,NA,NA,NA,NA,NA
"374","Research Partner","Ariadna","2021-11-26","2021-11-29","National","1030","Provided","Not Available","0.1%",NA,NA,1.2,NA,NA,NA,NA,NA,NA,41.5,23,7.7,3.6,9.4,NA,NA,11.9,0.7,NA,NA,NA,NA,NA,NA
"375","IBRiS","Onet.pl","2021-11-26","2021-11-27","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.1,25.6,8.1,7.4,8.2,NA,NA,13.7,NA,NA,NA,NA,NA,NA,NA
"376","Estymator","DoRzeczy.pl","2021-11-25","2021-11-26","National","1021","Provided","Not Available","0.1%",NA,NA,1.5,NA,NA,NA,NA,NA,NA,34.8,23.5,7.6,7,8.5,NA,NA,15.6,1.1,0.4,NA,NA,NA,NA,NA
"377","IBRiS","Wydarzenia","2021-11-23","2021-11-23","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7,25.1,8.7,5.9,10.7,NA,NA,14.9,NA,NA,NA,NA,NA,NA,NA
"378","Instytut Badań Pollster","SE.pl","2021-11-22","2021-11-23","National","1016","Provided","Not Available","0.1%",NA,NA,1,NA,NA,NA,NA,NA,NA,37.5,24.3,8,4.5,8,NA,NA,15.7,0.7,NA,NA,NA,NA,NA,NA
"379","Social Changes","wPolityce.pl","2021-11-19","2021-11-22","National","1079","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,39,25,8,1,10,NA,NA,13,1,NA,NA,NA,NA,NA,NA
"380","IBRiS","Rzeczpospolita","2021-11-19","2021-11-20","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1,25.3,10.1,5.5,7.3,NA,NA,15.8,NA,NA,NA,NA,NA,NA,NA
"381","United Surveys","WP.pl","2021-11-18","2021-11-19","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3,25.8,9.1,6.1,6.9,NA,NA,15.8,NA,NA,NA,NA,NA,NA,NA
"382","United Surveys","DGP and RMF FM","2021-11-18","2021-11-19","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6,26.1,8.3,6.8,7.7,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA
"383","Kantar","Wyborcza","2021-11-16","2021-11-18","National","1002","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,32,26,9,4,10,NA,NA,15,0,NA,NA,NA,NA,NA,NA
"384","Social Changes","wPolityce.pl","2021-11-05","2021-11-18","National","1082","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,24,9,1,10,NA,NA,14,1,NA,NA,NA,NA,NA,NA
"385","Kantar Public","","2021-11-12","2021-11-17","National","968","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,33,27,8,4,6,NA,NA,11,1,NA,NA,NA,NA,NA,NA
"386","Social Changes","wPolityce.pl","2021-11-12","2021-11-15","National","1096","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,41,23,7,1,11,NA,NA,13,1,NA,NA,NA,NA,NA,NA
"387","Research Partner","Ariadna","2021-11-05","2021-11-09","National","1031","Provided","Not Available","0.1%",NA,NA,1.2,NA,NA,NA,NA,NA,NA,37.6,26.5,8.5,2.4,10.5,NA,NA,12,0.7,NA,NA,NA,NA,NA,NA
"388","Estymator","DoRzeczy.pl","2021-11-05","2021-11-06","National","1016","Provided","Not Available","0.1%",NA,NA,1.5,NA,NA,NA,NA,NA,NA,37.2,24.4,9,5.6,8.1,NA,NA,12.7,1.1,0.4,NA,NA,NA,NA,NA
"389","United Surveys","WP.pl","2021-11-05","2021-11-05","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,24.5,8.2,5.2,6.7,NA,NA,18.7,NA,NA,NA,NA,NA,NA,NA
"390","Social Changes","wPolityce.pl","2021-10-29","2021-11-02","National","1059","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,39,25,8,2,9,NA,NA,12,1,NA,NA,NA,NA,NA,NA
"391","Instytut Badań Pollster","SE.pl","2021-10-27","2021-10-28","National","1078","Provided","Not Available","0.1%",NA,NA,1.3,NA,NA,NA,NA,NA,NA,36.6,25.8,8.6,4.4,8.8,NA,NA,13.8,0.6,NA,NA,NA,NA,NA,NA
"392","PGB Opinium","","2021-10-24","2021-10-26","National","1002","Provided","Not Available","0.1%",NA,NA,0.9,NA,NA,NA,NA,NA,NA,34,29.6,8.5,4.2,6.3,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA
"393","Research Partner","Ariadna","2021-10-22","2021-10-25","National","1223","Provided","Not Available","0.1%",NA,NA,1.7,NA,NA,NA,NA,NA,NA,38.8,25.8,7.8,3.3,8.5,NA,NA,12.5,0.8,NA,NA,NA,NA,NA,NA
"394","Social Changes","wPolityce.pl","2021-10-22","2021-10-25","National","1067","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,39,26,7,2,10,NA,NA,12,0,NA,NA,NA,NA,NA,NA
"395","IBRiS","Rzeczpospolita","2021-10-22","2021-10-23","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,26.4,10.1,5,5.5,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA
"396","United Surveys","WP.pl","2021-10-22","2021-10-22","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,25.1,8.6,6.7,6.6,NA,NA,12.9,NA,NA,NA,NA,NA,NA,NA
"397","Social Changes","wPolityce.pl","2021-10-15","2021-10-18","National","1096","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,39,26,7,2,8,NA,NA,13,2,NA,NA,NA,NA,NA,NA
"398","Kantar","Fakty TVN and TVN24","2021-10-12","2021-10-13","National","614","Provided","Not Available","1%",NA,NA,0,NA,NA,NA,NA,NA,NA,34,28,6,4,10,NA,NA,16,1,NA,NA,NA,NA,NA,NA
"399","Kantar Public","","2021-10-08","2021-10-13","National","968","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,29,8,3,7,NA,NA,12,1,NA,NA,NA,NA,NA,NA
"400","United Surveys","DGP and RMF FM","2021-10-11","2021-10-11","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3,30.1,7.4,5.1,7.5,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA
"401","Social Changes","wPolityce.pl","2021-10-08","2021-10-11","National","1068","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,40,26,7,2,7,NA,NA,12,2,NA,NA,NA,NA,NA,NA
"402","United Surveys","WP.pl","2021-10-08","2021-10-08","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.7,28.3,8.6,6.3,7.3,NA,NA,10.7,NA,NA,NA,NA,NA,NA,NA
"403","IBRiS","Wydarzenia","2021-10-06","2021-10-06","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,24.5,9.1,6.1,9.5,NA,NA,11.9,0.3,NA,NA,NA,NA,NA,NA
"404","Social Changes","wPolityce.pl","2021-10-01","2021-10-04","National","1090","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,37,25,7,2,11,NA,NA,14,1,NA,NA,NA,NA,NA,NA
"405","Social Changes","wPolityce.pl","2021-09-24","2021-09-27","National","1090","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,38,26,8,2,9,NA,NA,14,1,NA,NA,NA,NA,NA,NA
"406","Research Partner","Ariadna","2021-09-24","2021-09-27","National","1036","Provided","Not Available","0.1%",NA,NA,1.2,NA,NA,NA,NA,NA,NA,39.5,25.1,8.3,2.2,9.6,NA,NA,12.4,0.8,NA,NA,NA,NA,NA,NA
"407","IBRiS","Rzeczpospolita","2021-09-24","2021-09-25","National","1100","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,26,7,6,8,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
"408","United Surveys","WP.pl","2021-09-24","2021-09-24","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,25.8,7.2,6,8,NA,NA,13,NA,NA,NA,NA,NA,NA,NA
"409","Ipsos","OKO.press and Wyborcza","2021-09-21","2021-09-23","National","1000","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37,26,7,4,10,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
"410","Social Changes","wPolityce.pl","2021-09-17","2021-09-20","National","1050","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,24,7,2,12,NA,NA,13,2,NA,NA,NA,NA,NA,NA
"411","Instytut Badań Pollster","SE.pl","2021-09-13","2021-09-14","National","1048","Provided","Not Available","0.1%",NA,NA,1.1,NA,NA,NA,NA,NA,NA,39.5,24.5,7.6,4.7,7.3,NA,NA,14.3,0.7,NA,NA,NA,NA,NA,NA
"412","Social Changes","wPolityce.pl","2021-09-10","2021-09-13","National","1063","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,27,7,2,9,NA,NA,12,2,NA,NA,NA,NA,NA,NA
"413","Instytut Badań Pollster","Salon24.pl","2021-09-11","2021-09-12","National","1027","Provided","Not Available","0.1%",NA,NA,0.6,NA,NA,NA,NA,NA,NA,38.9,25.7,7.8,3.9,8.8,NA,NA,13.9,0.6,NA,NA,NA,NA,NA,NA
"414","Estymator","DoRzeczy.pl","2021-09-10","2021-09-11","National","1016","Provided","Not Available","0.1%",NA,NA,1.5,NA,NA,NA,NA,NA,NA,40.2,24.1,9,3.9,8.8,NA,NA,10.9,1.1,0.4,NA,NA,NA,NA,NA
"415","Kantar","Fakty TVN and TVN24","2021-09-09","2021-09-11","National","614","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,35,28,6,4,9,NA,NA,16,0,NA,NA,NA,NA,NA,NA
"416","United Surveys","WP.pl","2021-09-10","2021-09-10","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,25.1,7.7,5.9,9.9,NA,NA,10.4,NA,NA,NA,NA,NA,NA,NA
"417","Kantar","","2021-09-03","2021-09-08","National","979","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,38,30,7,4,5,NA,NA,14,1,NA,NA,NA,NA,NA,NA
"418","IBRiS","Wydarzenia","2021-09-07","2021-09-07","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5,25.5,9.4,3.2,8.4,NA,NA,12.5,0.3,NA,NA,NA,NA,NA,NA
"419","Research Partner","Ariadna","2021-09-03","2021-09-06","National","1077","Provided","Not Available","0.1%",NA,NA,1.8,NA,NA,NA,NA,NA,NA,34,24.6,8,0.9,9.5,NA,NA,20,0.4,NA,NA,NA,NA,NA,NA
"420","Social Changes","wPolityce.pl","2021-09-03","2021-09-06","National","1051","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,37,26,8,3,7,NA,NA,16,1,NA,NA,NA,NA,NA,NA
"421","IBRiS","Onet.pl","2021-09-03","2021-09-04","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,25.2,8.7,4.8,8.7,NA,NA,12.6,NA,NA,NA,NA,NA,NA,NA
"422","Instytut Badań Pollster","Wiadomości TVP","2021-09-01","2021-09-03","National","1047","Provided","Not Available","0.1%",NA,NA,1,NA,NA,NA,NA,NA,NA,36.7,26,7.5,NA,8.8,NA,NA,14.8,0.8,NA,NA,NA,NA,NA,NA
"423","IBSP","StanPolityki.pl","2021-09-01","2021-09-01","National","1001","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.6,24.1,7.7,2.6,9.7,NA,NA,15.8,5.1,NA,NA,NA,NA,NA,NA
"424","Social Changes","wPolityce.pl","2021-08-27","2021-08-30","National","1057","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,35,25,9,3,8,NA,NA,17,1,NA,NA,NA,NA,NA,NA
"425","IBRiS","Rzeczpospolita","2021-08-27","2021-08-28","National","1094","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,28.3,10.2,4.4,7,NA,NA,11.1,NA,NA,NA,NA,NA,NA,NA
"426","United Surveys","DGP and RMF FM","2021-08-27","2021-08-27","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.3,27.1,9.8,4.9,8.8,NA,NA,9.1,NA,NA,NA,NA,NA,NA,NA
"427","United Surveys","WP.pl","2021-08-27","2021-08-27","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.8,27.2,8.5,4.7,8.5,NA,NA,11.3,NA,NA,NA,NA,NA,NA,NA
"428","Instytut Badań Pollster","Wiadomości TVP","2021-08-26","2021-08-27","National","1057","Provided","Not Available","0.1%",NA,NA,1,NA,NA,NA,NA,NA,NA,37,24,7,NA,10,NA,NA,16,0.8,NA,NA,NA,NA,NA,NA
"429","Social Changes","wPolityce.pl","2021-08-23","2021-08-26","National","1057","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,33,26,8,2,9,NA,NA,18,1,NA,NA,NA,NA,NA,NA
"430","IBRiS","Wydarzenia","2021-08-24","2021-08-24","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1,26.7,8.6,4.6,8.1,NA,NA,12.9,0,NA,NA,NA,NA,NA,NA
"431","Social Changes","wPolityce.pl","2021-08-13","2021-08-19","National","1052","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,33,26,7,2,9,NA,NA,18,2,NA,NA,NA,NA,NA,NA
"432","Instytut Badań Pollster","TVP Info","2021-08-15","2021-08-16","National","1044","Provided","Not Available","0.1%",NA,NA,1,NA,NA,NA,NA,NA,NA,34,26,8,4,8,NA,NA,18,0.8,NA,NA,NA,NA,NA,NA
"433","Research Partner","Ariadna","2021-08-13","2021-08-16","National","1039","Provided","Not Available","0.1%",NA,NA,1.5,NA,NA,NA,NA,NA,NA,34.9,25.3,7.9,2.3,8.2,NA,NA,19.4,NA,NA,NA,NA,NA,NA,NA
"434","Research Partner","Ariadna","2021-10-08","2021-08-11","National","1031","Provided","Not Available","0.1%",NA,NA,0.8,NA,NA,NA,NA,NA,NA,40.7,23.6,7.5,1.8,10.6,NA,NA,12.9,1.1,NA,NA,NA,NA,NA,NA
"435","Kantar","","2021-08-06","2021-08-11","National","981","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,41,26,8,5,7,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
"436","Social Changes","wPolityce.pl","2021-08-06","2021-08-06","National","Not Available","Not Available","Not Available","1%",NA,NA,3,NA,NA,NA,NA,NA,NA,34,23,7,3,8,NA,NA,21,NA,NA,NA,NA,NA,NA,NA
"437","Instytut Badań Pollster","SE.pl","2021-07-30","2021-08-04","National","1049","Provided","Not Available","0.1%",NA,NA,2.1,NA,NA,NA,NA,NA,NA,34.5,25.8,8.3,3.1,9.7,NA,NA,16.3,NA,NA,NA,NA,NA,NA,NA
"438","Research Partner","Ariadna","2021-07-30","2021-08-02","National","1040","Provided","Not Available","0.1%",NA,NA,3.1,NA,NA,NA,NA,NA,NA,35.5,25.3,7.8,2,7.9,NA,NA,17.7,NA,NA,NA,NA,NA,NA,NA
"439","IBRiS","Rzeczpospolita","2021-07-31","2021-08-01","National","1094","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,30,10,5.5,5.5,NA,NA,12.2,NA,NA,NA,NA,NA,NA,NA
"440","United Survey","WP.pl","2021-07-30","2021-07-30","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.2,30.8,7.7,5.6,6.6,NA,NA,11.2,NA,NA,NA,NA,NA,NA,NA
"441","Social Changes","wPolityce.pl","2021-07-23","2021-07-26","National","1063","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,36,24,7,2,9,NA,NA,19,NA,NA,NA,NA,NA,NA,NA
"442","IBRiS","Onet.pl","2021-07-24","2021-07-25","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1,29.7,8,5.7,6.1,NA,NA,12.4,NA,NA,NA,NA,NA,NA,NA
"443","IBSP","StanPolityki.pl","2021-07-21","2021-07-23","National","1001","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9,26.2,6.4,2.3,7.4,NA,NA,19.8,NA,NA,NA,NA,NA,NA,2.5
"444","Research Partner","Ariadna","2021-07-16","2021-07-19","National","1051","Provided","Not Available","0.1%",NA,NA,1.9,NA,NA,NA,NA,NA,NA,34.1,27.2,8.5,2,6.7,NA,NA,19.6,NA,NA,NA,NA,NA,NA,NA
"445","Social Changes","wPolityce.pl","2021-07-16","2021-07-19","National","1049","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,34,25,8,2,9,NA,NA,19,NA,NA,NA,NA,NA,NA,NA
"446","Kantar","","2021-07-09","2021-07-14","National","969","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,36,27,6,5,6,NA,NA,18,NA,NA,NA,NA,NA,NA,NA
"447","Social Changes","wPolityce.pl","2021-07-09","2021-07-12","National","1062","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,34,24,9,4,7,NA,NA,20,NA,NA,NA,NA,NA,NA,NA
"448","Kantar","Fakty TVN and TVN24","2021-07-09","2021-07-11","National","583","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,33,28,8,3,8,NA,NA,17,NA,NA,NA,NA,NA,NA,NA
"449","Instytut Badań Pollster","SE.pl","2021-07-06","2021-07-07","National","1049","Provided","Not Available","0.1%",NA,NA,2.3,NA,NA,NA,NA,NA,NA,35.3,24.3,6.5,4.3,7.7,NA,NA,18.8,NA,NA,NA,NA,NA,NA,NA
"450","United Survey","WP.pl","2021-07-05","2021-07-07","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,23.3,8.5,5.6,6.1,NA,NA,18,NA,NA,NA,NA,NA,NA,NA
